packet_size,duration,failed_logins,connection_rate,label
481.8775826781897,0.43961617025068134,0.0,6.9404518397813275,0
393.760647185312,0.5907962313627049,0.0,10.504389708468574,0
993.3863997276464,10.038581760747885,0.0,502.99814288478535,1
1117.631452887173,14.88251169053068,0.0,574.0618295811797,1
511.5026079147417,0.5456688010730399,0.0,9.152197855334808,0
999.3038302853596,10.249326786815114,0.0,464.5485548842514,1
442.96486335863193,0.4517016073927159,0.0,9.979588799218135,0
531.1250154543536,0.6447305699391807,0.0,10.39080644256664,0
235.09411260296469,2.409156868159981,36.0,3.6619470994650816,1
467.93323744428085,0.6103217572053659,0.0,13.847026975206909,0
454.79096671669197,0.5398048216509262,0.0,11.06578344045408,0
876.7944912564088,10.91915097662213,0.0,501.54247463784696,1
201.69352747176222,1.933342096740947,32.0,3.077685812527167,1
584.0620026504553,0.4233879169389329,0.0,10.769932832095268,0
879.8340721808171,11.683264511530151,0.0,504.0159786312606,1
541.9019009366045,0.6280939576666728,0.0,10.458189663292758,0
195.9182819994378,1.5702809066023447,29.0,5.848496068900061,1
494.4415329089545,0.4222628515154093,0.0,2.6232694171431117,0
560.6723059136183,0.2695788064056033,0.0,11.660322744692609,0
279.7380994521932,2.3951745043461443,26.0,6.390479477204648,1
639.9355436586002,0.4041221543813225,0.0,9.93394947256088,0
944.1299505886157,9.843338302139685,0.0,529.406897567133,1
124.79257345260105,2.04057191592481,43.0,3.20773379421614,1
410.4653677636976,0.5180071037695981,0.0,10.940027322493323,0
196.8451223522827,2.0935344689882998,47.0,4.336110494386833,1
235.0565600356459,2.0688792025870186,26.0,5.608656338634133,1
607.2507337309802,0.5305243126531353,0.0,11.887431011512088,0
765.613214155361,7.26840814389811,0.0,383.19651974893685,1
392.7860988014393,0.3179239722197984,0.0,12.909652348293301,0
1082.4166929742921,13.20740371093386,0.0,424.8422465200199,1
420.75800790000386,0.5165403660299704,0.0,10.99737982427109,0
573.6843897092433,0.5743651775540173,0.0,5.291034154606796,0
442.34895992732805,0.6181567716419146,0.0,14.386899100576771,0
521.3196628237689,0.6322744466885135,0.0,7.68279347268103,0
617.0198709196604,0.5872153105684055,0.0,10.236700131310354,0
367.9766792979358,0.42000594932980656,0.0,7.384446869704679,0
468.3591550305198,0.5019381237698025,0.0,9.222863559017593,0
136.6730585527514,2.1556949688482137,24.0,4.004650415653844,1
1227.5715551938742,7.097792027066523,0.0,575.2106450342615,1
519.6131459023908,0.6992036635959309,0.0,10.504007522403857,0
323.69598446372663,0.4964174421293537,0.0,7.693831336520436,0
991.5336208679574,7.598362000329919,0.0,473.80784148433025,1
349.5279625968998,0.6026894618257914,0.0,12.36709820516321,0
503.27969954115866,0.35212228761537145,0.0,8.553663122341215,0
570.0309879408992,0.4112230488461459,0.0,7.403792192625684,0
776.9506927246372,8.81770634014878,0.0,547.4850192138935,1
502.6885838994531,0.5001325688734407,0.0,11.161135374071229,0
517.3180925851182,0.5872197000072978,0.0,11.494889942854112,0
149.05787653126742,1.9775402309227834,21.0,4.548473983078319,1
475.13088738164527,0.5003147726906326,0.0,10.315269116881888,0
542.3599065593461,0.572894119457045,0.0,7.7287281904843415,0
149.22462805933395,2.0847988381974676,19.0,4.5126470607899405,1
638.6349397262843,0.3048397087117113,0.0,10.786590276332962,0
478.08994711911356,0.48550954209185687,0.0,12.967487820407413,0
691.1419087139723,0.43195059522359525,0.0,7.791948733055229,0
918.5968216386458,8.018691845001523,0.0,567.466196390537,1
501.56183339496033,0.3522387593080555,0.0,10.629943743110664,0
549.6699223236521,0.4382787753352038,0.0,10.353524206500527,0
144.64083650591198,1.9234597477592987,25.0,4.717192734887873,1
480.5302703883318,0.6302590396786232,0.0,6.562139174092306,0
458.6394466578356,0.5438579290921005,0.0,8.805237877909715,0
366.46556412898985,0.34881165804367864,0.0,12.03044178362861,0
760.1683114180395,0.5969569025752907,0.0,8.750330763131036,0
908.0517209873922,12.13889477624838,0.0,480.63091274926427,1
454.4460473976129,0.238186680130772,0.0,8.30792065474473,0
147.4339092880385,2.096399396253134,47.0,4.231858606506812,1
600.3532897892024,0.6074318012715562,0.0,9.588466012645656,0
220.19702080341523,1.5280074923260558,30.0,5.351859429446575,1
422.6210800896427,0.4705757494363542,0.0,8.204681229449893,0
478.298294957563,0.7202013924659616,0.0,11.56631131202635,0
478.43323624523674,0.49679525058362867,0.0,9.265954770556716,0
1257.826367087489,11.813568533350859,0.0,517.3362008120976,1
608.1766727672829,0.35691687983753284,0.0,10.247813633042142,0
509.53441994413083,0.6591400367762804,0.0,10.567822117472762,0
